iter	RMSE
0	4220910.804
1	3892079.538
2	3592677.444
3	3310354.878
4	3051343.976
5	2813633.678
6	2594866.522
7	2399205.678
8	2213953.111
9	2043207.795
10	1886850.893
11	1742352.324
12	1610391.951
13	1487262.292
14	1376285.64
15	1271128.704
16	1176511.548
17	1088636.25
18	1005810.547
19	929878.8753
20	859784.1738
21	797170.0384
22	737861.1846
23	683736.6994
24	633048.7464
25	587699.9969
26	544908.9794
27	504796.0943
28	468336.3497
29	435584.6769
30	404577.2764
31	376782.4071
32	350218.5156
33	326246.057
34	304285.1905
35	284648.3259
36	266266.5508
37	249126.3701
38	233443.7026
39	219740.8682
40	206750.4185
41	195022.4156
42	184254.2534
43	174507.2352
44	165499.1537
45	158069.5866
46	150956.789
47	144379.2948
48	138488.7719
49	133150.4964
50	128496.4791
51	124497.3131
52	120903.0395
53	117431.9484
54	114330.9422
55	111607.1587
56	109296.6203
57	107254.8388
58	105156.5113
59	103531.9012
60	101832.8715
61	100342.7662
62	99225.87232
63	97244.59757
64	95982.61454
65	94948.17638
66	94060.06471
67	92675.37193
68	91992.30431
69	90645.27184
70	89768.66953
71	88622.80623
72	87930.14719
73	86974.73116
74	86118.31247
75	85381.33784
76	84755.20761
77	84317.10209
78	83918.24415
79	83394.56515
80	82926.74422
81	82548.50515
82	82009.63723
83	81620.51886
84	81120.05204
85	80806.71182
86	80460.1257
87	80152.98466
88	79921.39415
89	79251.71444
90	78676.16315
91	78018.98833
92	77728.11391
93	77534.33855
94	77025.97811
95	76787.71523
96	76555.52631
97	76054.35354
98	75718.94867
99	75336.90398
100	75146.82131
101	74720.46146
102	74469.59609
103	74240.25317
104	73833.28281
105	73551.81823
106	73351.82146
107	72947.42536
108	72816.53157
109	72717.93625
110	72491.74202
111	72273.28376
112	71974.84584
113	71635.10289
114	71488.91486
115	71337.87491
116	71125.91957
117	70957.54797
118	70698.88667
119	70334.24017
120	70114.62774
121	69903.25179
122	69666.85645
123	69475.62343
124	69186.42563
125	68939.68873
126	68771.10532
127	68703.05951
128	68532.43008
129	68406.35933
130	68174.90814
131	67937.37128
132	67775.01142
133	67463.66677
134	67281.74678
135	67141.46185
136	66984.3305
137	66800.06023
138	66728.74191
139	66450.55095
140	66294.52081
141	66076.29154
142	65883.51115
143	65741.11312
144	65596.73645
145	65447.91817
146	65265.06694
147	65071.36591
148	64890.77802
149	64729.97623
150	64574.30835
151	64304.87019
152	64183.73299
153	63961.77637
154	63875.99133
155	63752.23656
156	63623.52934
157	63514.94625
158	63403.94124
159	63339.17582
160	63218.80904
161	63038.29371
162	62940.35708
163	62747.7406
164	62644.01528
165	62556.26665
166	62335.01851
167	62180.84054
168	61958.48183
169	61790.19432
170	61642.54226
171	61428.09551
172	61224.98428
173	61149.78884
174	61011.0258
175	60825.81518
176	60747.65902
177	60674.82659
178	60500.14736
179	60286.28972
180	60161.3779
181	59998.32087
182	59849.50847
183	59776.09495
184	59649.26146
185	59562.97682
186	59468.11928
187	59280.08327
188	59181.3198
189	59129.25375
190	59070.4145
191	58956.1489
192	58816.81777
193	58740.65817
194	58669.84328
195	58563.07851
196	58396.06857
197	58336.79733
198	58161.759
199	58065.7263
200	57854.03957
201	57693.73976
202	57588.51182
203	57477.9441
204	57415.66044
205	57374.24061
206	57249.91593
207	57188.63345
208	57074.25641
209	56923.48696
210	56738.65161
211	56672.3924
212	56614.34434
213	56537.98491
214	56443.49482
215	56361.67208
216	56264.03905
217	56212.4871
218	55991.30939
219	55935.85872
220	55859.496
221	55742.92208
222	55532.95249
223	55374.78205
224	55297.63836
225	55209.72568
226	55126.07447
227	55046.6037
228	54956.59087
229	54798.08952
230	54726.95435
231	54656.46036
232	54610.40207
233	54531.04154
234	54467.55353
235	54370.98579
236	54297.0371
237	54122.72379
238	53985.22344
239	53837.59056
240	53730.719
241	53651.7406
242	53611.30291
243	53543.07006
244	53474.11963
245	53437.40817
246	53363.96638
247	53224.25431
248	53175.47067
249	53057.46344
250	53021.41047
251	52951.24339
252	52838.78352
253	52786.51089
254	52697.45696
255	52639.70426
256	52458.69407
257	52401.96524
258	52343.14533
259	52284.19252
260	52209.67805
261	52105.1621
262	52060.1206
263	51970.73946
264	51829.19631
265	51796.84814
266	51707.74608
267	51669.00598
268	51602.06788
269	51551.50085
270	51448.4811
271	51331.52464
272	51251.40467
273	51201.43101
274	51135.04382
275	51085.01715
276	50992.22495
277	50949.00807
278	50868.89106
279	50832.2767
280	50785.71896
281	50695.22149
282	50617.26419
283	50479.02277
284	50428.30711
285	50358.56553
286	50279.23987
287	50202.8992
288	50130.50612
289	50055.25414
290	50018.12383
291	49903.18117
292	49839.87337
293	49810.07561
294	49777.34457
295	49722.43618
296	49693.9051
297	49637.06005
298	49534.64015
299	49484.99039
300	49420.21179
301	49372.73805
302	49312.70762
303	49252.57072
304	49200.06935
305	49087.49774
306	49022.43438
307	48955.21953
308	48904.73388
309	48796.57545
310	48745.28726
311	48645.38563
312	48582.46428
313	48545.99998
314	48522.76393
315	48460.56867
316	48428.75151
317	48353.50003
318	48296.3354
319	48260.99669
320	48204.1966
321	48163.69974
322	48064.31005
323	48013.9979
324	47985.50574
325	47952.94224
326	47900.61465
327	47865.21484
328	47767.69194
329	47724.03798
330	47674.01679
331	47640.15806
332	47547.57597
333	47480.31961
334	47423.52591
335	47376.87592
336	47295.78427
337	47212.84541
338	47082.67709
339	46999.04114
340	46937.68108
341	46897.71861
342	46805.14445
343	46785.92528
344	46735.80551
345	46675.67263
346	46649.67242
347	46620.16328
348	46577.69131
349	46531.18919
350	46503.98461
351	46470.63118
352	46397.78452
353	46326.54078
354	46238.63981
355	46215.47456
356	46185.92896
357	46139.48768
358	46111.36603
359	46064.8011
360	46026.05485
361	45973.1047
362	45931.05638
363	45911.30213
364	45886.46212
365	45841.37239
366	45805.74695
367	45770.87276
368	45710.00626
369	45667.07759
370	45602.36088
371	45541.92083
372	45515.48191
373	45465.71645
374	45427.94292
375	45383.17656
376	45294.29544
377	45268.25519
378	45243.97601
379	45192.35129
380	45143.93824
381	45113.03809
382	45007.19037
383	44931.06794
384	44907.98673
385	44885.88261
386	44862.19465
387	44824.75212
388	44739.09442
389	44703.50948
390	44638.71013
391	44605.77511
392	44587.39406
393	44567.00877
394	44498.91298
395	44477.41192
396	44439.61474
397	44416.93303
398	44389.04623
399	44357.6726
400	44326.69358
401	44289.09507
402	44223.73057
403	44177.20968
404	44116.78967
405	44054.75001
406	44007.4434
407	43977.13842
408	43932.58434
409	43901.72987
410	43879.31187
411	43860.05136
412	43796.25865
413	43738.48814
414	43686.11243
415	43660.38215
416	43644.09139
417	43625.29284
418	43578.43876
419	43542.13523
420	43523.27398
421	43505.22831
422	43450.43284
423	43391.85693
424	43368.07466
425	43346.56409
426	43311.87843
427	43295.17416
428	43275.86397
429	43258.03687
430	43208.52448
431	43151.53109
432	43115.62264
433	43048.51864
434	42998.08239
435	42969.31746
436	42923.84655
437	42903.16719
438	42824.41761
439	42772.95965
440	42732.09811
441	42675.21467
442	42631.42793
443	42611.52903
444	42583.15863
445	42545.20007
446	42493.68891
447	42475.68089
448	42408.25313
449	42386.42273
450	42370.24857
451	42328.16326
452	42298.45306
453	42274.33637
454	42258.78649
455	42233.72333
456	42207.45301
457	42176.9655
458	42118.55018
459	42077.62201
460	42043.98079
461	42014.10294
462	41996.50671
463	41952.96114
464	41910.50153
